claim_area	implemented_evidence	primary_outputs	claim_boundary	target_relevance
Raw-count generative model	fibrodynmix_nb_loglik(), fibrodynmix_nb_objective(), fit_fibrodynmix_nb()	R/nb_likelihood.R; R/fit_nb_model.R	Current optimizer is a pragmatic NB implementation, not full joint Bayesian inference.	Core distinction from gene-set scoring for iScience/Communications Biology.
Latent simplex optimization	fit_fibrodynmix_initializer(), fit_fibrodynmix_nb(), fit_fibrodynmix_vi()	R/fibrodynmix_initializer.R; R/fit_nb_model.R; R/vi_posterior.R	Latent z is inferred, but full amortized inference remains future work.	Supports mixed-state plasticity claim.
Study and donor hierarchy	fit_fibrodynmix_nb(study_id, donor_id), study/donor effect diagnostics	analysis/study_effect_sensitivity; figures/figure4	Ridge hierarchy effects are implemented; full posterior over effects remains future work.	Addresses cross-cohort confounding reviewers will expect.
Posterior uncertainty	bootstrap_fibrodynmix(), fit_fibrodynmix_vi(), posterior interval summaries	analysis/bootstrap_uncertainty; analysis/vi_posterior; figures/supplementary_uncertainty	Bootstrap and lightweight VI posterior are implemented; full all-parameter posterior remains future work.	Supports uncertainty reporting required for mature probabilistic methods.
VI calibration	evaluate_posterior_intervals(), calibrate_posterior_interval_scale(), analysis/vi_benchmark	analysis/vi_benchmark	Calibration uses simulated truth and should not be presented as real-data calibration.	Quantifies posterior calibration rather than asserting uncertainty qualitatively.
Extended method benchmark	fit_topic_nmf_baseline(), run_extended_method_benchmark.R, marker scoring, NMF/topic baseline, FibroDynMix NB/VI comparisons	analysis/extended_method_benchmark; docs/extended-method-benchmark.md	Simulation method comparison; marker scoring remains competitive in marker-aligned low-noise settings and should not be dismissed.	Adds a mature-package NMF/topic comparator and clarifies what FibroDynMix improves beyond ordinary topic models.
Validation-aware NB selection	select_fibrodynmix_nb_model(), run_validation_aware_nb_selection.R, held-out likelihood, z stability, marker-gradient preservation, and downstream validation	R/nb_model_selection.R; analysis/validation_aware_nb_selection; docs/core-converged-method-benchmark.md	Selector is simulation-calibrated; truth metrics are audit columns only and final real-data reruns still need selected defaults.	Addresses objective-only NB stopping as a reviewer risk and gives a defensible default-selection rule.
scVI-inclusive core benchmark	run_core_converged_method_benchmark.R with include_scvi, project-local scvi-tools/anndata/torch environment, and scVI latent projection baseline	R/scvi_baseline.R; analysis/core_converged_method_benchmark_scvi_r5; figures/core_converged_tradeoff_scvi_r5	scVI is included as a bounded latent baseline; it is not a full scANVI or cNMF replacement and should not be overinterpreted from small simulated runs.	Closes the deep generative baseline gap for the core simulation benchmark.
Marker stress benchmark	run_marker_stress_benchmark.R corrupted, missing, shared, swapped, and hidden-program marker-prior stress modes	analysis/marker_stress_benchmark; docs/marker-stress-benchmark.md	Stress benchmark supports bounded failure-mode claims, not universal dominance over marker scoring.	Clarifies when marker scoring fails and when FibroDynMix provides competitive or improved recovery plus richer model outputs.
Transition flow and FPI	compute_state_cost(), estimate_transition_flow(), compute_fpi(), Figure 6	analysis/transition_flow; figures/figure6	Flow is cross-sectional optimal transport, not lineage tracing.	Connects state mixtures to fibroblast plasticity hypothesis.
Cross-cohort transfer	fit_fibrodynmix_transfer(), run_cross_cohort_transfer_benchmark(), public real-data transfer smoke	analysis/cross_cohort_transfer; analysis/public_realdata_transfer	Transfer mechanics are implemented; completed human cross-atlas generalization remains future work.	Supports cross-dataset migration claim with bounded evidence.
Multi-public real-data validation	run_multi_public_realdata_validation.R pooled public fit, study-effect adjustment, transition flow, and leave-dataset-out transfer	analysis/multi_public_realdata_validation; docs/multi-public-realdata-validation.md	Default registry uses two public condition-specific count matrices from one Dryad record; a completed human disease-atlas claim remains future work.	Moves the real-data layer beyond one pooled smoke run and gives reviewers explicit leave-dataset-out diagnostics.
