analysis_id	run_script	output_dir	output_dir_exists	n_output_files	primary_manifest	primary_manifest_exists	research_role	claim_boundary
public_realdata_smoke	scripts/run_public_realdata_smoke.R	analysis/public_realdata_smoke	TRUE	11	analysis/public_realdata_smoke/run_manifest.tsv	TRUE	public raw-count execution smoke test	technical smoke test, not disease mechanism
public_realdata_transfer	scripts/run_public_realdata_transfer.R	analysis/public_realdata_transfer	TRUE	6	analysis/public_realdata_transfer/public_transfer_manifest.tsv	TRUE	bidirectional public transfer smoke test	transfer mechanics, not full atlas generalization
multi_public_realdata_validation	scripts/run_multi_public_realdata_validation.R	analysis/multi_public_realdata_validation	TRUE	11	analysis/multi_public_realdata_validation/multi_public_validation_manifest.tsv	TRUE	multi-public Dryad count-matrix validation	two condition-specific matrices from one Dryad record
independent_geo_gse246215_validation	scripts/run_multi_public_realdata_validation.R --dataset-manifest=data/public_geo_gse246215_fibroblast_atlas/gse246215_fibroblast_dataset_manifest.tsv --out=analysis/independent_geo_gse246215_validation	analysis/independent_geo_gse246215_validation	TRUE	10	analysis/independent_geo_gse246215_validation/multi_public_validation_manifest.tsv	TRUE	independent human GSE246215 validation	processed public count matrix and within-study cancer-type subsets
independent_geo_gse167339_validation	scripts/prepare_gse167339_human_fibroblast_inputs.R --max-cells-per-sample=80 --include-hash-pool=true; scripts/run_multi_public_realdata_validation.R --dataset-manifest=data/public_geo_gse167339_human_fibroblast/gse167339_human_fibroblast_dataset_manifest.tsv --out=analysis/independent_geo_gse167339_validation --max-cells=80 --max-genes=700 --transfer-maxit-z=120 --seed=167339	analysis/independent_geo_gse167339_validation	TRUE	11	analysis/independent_geo_gse167339_validation/multi_public_validation_manifest.tsv	TRUE	independent human GSE167339 donor perturbation validation	processed 10x-style MTX matrices from three donors; Human 3 hash groups included as hash_unknown without treatment-label interpretation
gse167339_donor_robustness	scripts/run_gse167339_donor_robustness.R	analysis/gse167339_donor_robustness	TRUE	6	analysis/gse167339_donor_robustness/gse167339_donor_robustness_manifest.tsv	TRUE	GSE167339 donor-level robustness and hash-threshold sensitivity	donor-level transfer robustness; Human3 remains hash_unknown without treatment-label interpretation
bioinformatics_validation	scripts/run_bioinformatics_validation.R	analysis/bioinformatics_validation	TRUE	6	analysis/bioinformatics_validation/bioinformatics_validation_manifest.tsv	TRUE	fibroblast purity, state program annotation, and donor-aware state/FPI validation	curated marker/pathway checks; not exhaustive annotation or causal biology
gse246215_sensitivity	scripts/run_gse246215_sensitivity.R	analysis/gse246215_sensitivity	TRUE	75	analysis/gse246215_sensitivity/gse246215_sensitivity_manifest.tsv	TRUE	GSE246215 downsampling and library-size QC sensitivity	computational robustness and QC sensitivity, not cancer biology
gse246215_downstream_benchmark	scripts/run_gse246215_downstream_benchmark.R	analysis/gse246215_downstream_benchmark	TRUE	6	analysis/gse246215_downstream_benchmark/gse246215_downstream_manifest.tsv	TRUE	GSE246215 patient-level cancer-type downstream representation benchmark	processed public count matrix from one GEO accession; representation utility, not diagnostic performance
gse246215_downstream_benchmark_sample	scripts/run_gse246215_downstream_benchmark.R --aggregation-col=SampleID --out=analysis/gse246215_downstream_benchmark_sample	analysis/gse246215_downstream_benchmark_sample	TRUE	6	analysis/gse246215_downstream_benchmark_sample/gse246215_downstream_manifest.tsv	TRUE	GSE246215 sample-level cancer-type downstream representation benchmark	processed public count matrix from one GEO accession; sample-level representation utility, not diagnostic performance
extended_method_benchmark	scripts/run_extended_method_benchmark.R	analysis/extended_method_benchmark	TRUE	5	analysis/extended_method_benchmark/extended_method_benchmark_manifest.tsv	TRUE	simulation comparison against marker scoring and NMF/topic baseline	simulation truth only; marker scoring remains competitive in some settings
nb_convergence_benchmark	scripts/run_nb_convergence_benchmark.R	analysis/nb_convergence_benchmark	TRUE	6	analysis/nb_convergence_benchmark/nb_convergence_manifest.tsv	TRUE	NB outer-iteration convergence adequacy benchmark	bounded convergence sensitivity; n_outer=2 is not convergence-level evidence
core_converged_method_benchmark	scripts/run_core_converged_method_benchmark.R	analysis/core_converged_method_benchmark	TRUE	6	analysis/core_converged_method_benchmark/core_converged_benchmark_manifest.tsv	TRUE	core method rerun under n_outer 10/20	higher-outer rerun exposes objective/RMSE mismatch; not final optimizer selection
marker_stress_benchmark	scripts/run_marker_stress_benchmark.R	analysis/marker_stress_benchmark	TRUE	6	analysis/marker_stress_benchmark/marker_stress_benchmark_manifest.tsv	TRUE	simulation stress test for marker-prior failure modes	bounded stress simulation; does not prove universal superiority over marker scoring
vi_benchmark	scripts/run_vi_benchmark.R	analysis/vi_benchmark	TRUE	4	analysis/vi_benchmark/vi_benchmark_manifest.tsv	TRUE	simulation posterior interval calibration	simulation truth only; lightweight VI, not full posterior
vi_posterior	scripts/run_vi_posterior.R	analysis/vi_posterior	TRUE	7	analysis/vi_posterior/vi_manifest.tsv	TRUE	posterior state uncertainty demonstration	posterior skeleton around NB mode
cross_cohort_transfer	scripts/run_cross_cohort_transfer.R	analysis/cross_cohort_transfer	TRUE	3	analysis/cross_cohort_transfer/transfer_manifest.tsv	TRUE	leave-study-out simulation transfer benchmark	simulation transfer truth only
study_effect_sensitivity	scripts/run_study_sensitivity.R	analysis/study_effect_sensitivity	TRUE	4	analysis/study_effect_sensitivity/study_effect_sensitivity_summary.tsv	TRUE	study-effect penalty sensitivity	simulation-calibrated penalty choice
bootstrap_uncertainty	scripts/run_bootstrap_uncertainty.R	analysis/bootstrap_uncertainty	TRUE	4	analysis/bootstrap_uncertainty/sample_composition_uncertainty.tsv	TRUE	bootstrap uncertainty analysis	bootstrap uncertainty, not full Bayesian posterior
transition_flow	scripts/run_transition_flow.R	analysis/transition_flow	TRUE	5	analysis/transition_flow/transition_flow_summary.tsv	TRUE	cross-sectional transition-flow and FPI analysis	cross-sectional OT flow, not lineage tracing
project_maturity	scripts/run_project_maturity_audit.R	analysis/project_maturity	TRUE	5	analysis/project_maturity/project_maturity_manifest.tsv	TRUE	package and manuscript evidence audit	audit summary, not independent validation
