figure	input_dir	png	pdf	n_points	scenarios	methods	n_outer	generated_at	primary_claim	claim_boundary	figure_package	manifest_path	current_scope	remaining_scope	source_doi	n_cells	n_genes	objective_improvement	transition_converged	selected_study_l2	selected_marker_l2	source_datasets	expected_cost	flow_entropy	converged	nb_objective_improvement
Supplementary Figure S4	/Volumes/bioSSD/RCode/FibroDynMix/analysis/core_converged_method_benchmark_scvi_r5	/Volumes/bioSSD/RCode/FibroDynMix/figures/core_converged_tradeoff_scvi_r5/exports/core_converged_objective_rmse_tradeoff.png	/Volumes/bioSSD/RCode/FibroDynMix/figures/core_converged_tradeoff_scvi_r5/exports/core_converged_objective_rmse_tradeoff.pdf	80	continuous;discrete;batch_confounding;rare_transition	fibrodynmix_nb;fibrodynmix_nb_study	10;20	2026-06-14 03:14:00.411555	scVI-inclusive core benchmark confirms that NB objective improvement alone is not a sufficient selector for latent-state recovery.	Bounded simulation optimizer-sensitivity figure with scVI included as a latent baseline; not a full deep generative benchmark or biological validation.	core_converged_tradeoff_scvi_r5	figures/core_converged_tradeoff_scvi_r5/figure_manifest.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Supplementary Figure S3	/Volumes/bioSSD/RCode/FibroDynMix/analysis/core_converged_method_benchmark	/Volumes/bioSSD/RCode/FibroDynMix/figures/core_converged_tradeoff/exports/core_converged_objective_rmse_tradeoff.png	/Volumes/bioSSD/RCode/FibroDynMix/figures/core_converged_tradeoff/exports/core_converged_objective_rmse_tradeoff.pdf	32	continuous;discrete;batch_confounding;rare_transition	fibrodynmix_nb;fibrodynmix_nb_study	10;20	2026-06-14 02:49:09.216994	Core NB-family convergence diagnostics show that lower NB objective can diverge from latent-state RMSE and downstream utility.	Bounded simulation optimizer-sensitivity figure; supports validation-aware selection, not objective-only convergence or biological validation.	core_converged_tradeoff	figures/core_converged_tradeoff/figure_manifest.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Figure 1	NA	NA	NA	NA	NA	NA	NA	NA	FibroDynMix is organized as a raw-count generative mixture framework with latent fibroblast state simplex, hierarchical study/donor effects, uncertainty outputs, and transition-flow inference.	Architecture and evidence-map figure; not a standalone biological validation or complete Bayesian VI implementation.	figure1	figures/figure1/figure_manifest.tsv	NB optimizer, study/donor-effect optimization, study-effect calibration, bootstrap uncertainty, logistic-normal VI posterior skeleton, transition flow, public raw-count smoke run, leave-study-out transfer benchmark, and public real-data transfer smoke.	Full amortized or fully hierarchical VI posterior over all parameters and completed human disease-atlas or cross-atlas generalization.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Figure 2	NA	NA	NA	NA	NA	NA	NA	NA	FibroDynMix runs on a balanced public raw-count fibroblast subset and yields coherent state composition, FPI, and cross-sectional transition-flow readouts.	Public mouse pooled-count demonstration; not a disease-mechanism result without full QC, replicated donors, and validation.	figure2	figures/figure2/figure_manifest.tsv	NA	NA	10.6071/M3238R	600	1217	0.0900298597756815	TRUE	NA	NA	NA	NA	NA	NA	NA
Figure 3	NA	NA	NA	NA	NA	NA	NA	NA	FibroDynMix benchmarking quantifies state-mixture recovery, posterior VI behavior, confounding robustness, rare-transition detection, and learned marker-program recovery.	Computational simulation benchmark with known latent truth; not biological causal validation.	figure3	figures/figure3/figure_manifest.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Figure 4	NA	NA	NA	NA	NA	NA	NA	NA	A ridge-penalized study effect can absorb cohort-level expression shifts while retaining state-mixture recovery within a selected penalty range.	Simulation-calibrated study-effect penalty selection under batch confounding; not a real-cohort biological claim.	figure4	figures/figure4/figure_manifest.tsv	NA	NA	NA	NA	NA	NA	NA	5	0.05	NA	NA	NA	NA	NA
Figure 5	NA	NA	NA	NA	NA	NA	NA	2026-06-14 15:38:37.501662	FibroDynMix state compositions and transfer diagnostics support conserved and disease-context-specific fibroblast plasticity across independent GSE167339 and scar/fibrosis-context human fibroblast datasets.	External public-data validation using bounded sampled/capped outputs. GSE167339 Human3 hash groups support donor robustness only; GSE156326/GSE181316 module contrasts are descriptive small-sample pseudobulk effects and do not pass FDR significance.	figure5	figures/figure5/figure_manifest.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE167339;GSE156326;GSE181316	NA	NA	NA	NA
Figure 6	NA	NA	NA	NA	NA	NA	NA	NA	FibroDynMix estimates condition-associated state flow and a cell-level plasticity index from latent state mixtures.	Cross-sectional inferred state flow and FPI from simulated data; not lineage tracing or observed temporal transition.	figure6	figures/figure6/figure_manifest.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3812209546272	2.16019274837591	TRUE	NA
Supplementary Figure S2	NA	NA	NA	NA	NA	NA	NA	NA	FibroDynMix executes end-to-end on public raw UMI fibroblast count data and yields auditable NB, state composition, FPI, and transition-flow outputs.	Technical smoke test only; not a disease-mechanism result without full QC, biological replication, cell curation, and sensitivity analysis.	public_realdata_smoke	figures/public_realdata_smoke/figure_manifest.tsv	NA	NA	10.6071/M3238R	240	720	NA	TRUE	NA	NA	NA	NA	NA	NA	0.122729094488759
Supplementary Figure S1	NA	NA	NA	NA	NA	NA	NA	NA	Cell bootstrap provides uncertainty summaries for state composition, cell entropy, and marker-program stability.	Bootstrap uncertainty summaries from simulated data; not full Bayesian posterior credible intervals.	supplementary_uncertainty	figures/supplementary_uncertainty/figure_manifest.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
