analysis_id	run_script	output_dir	output_dir_exists	n_output_files	primary_manifest	primary_manifest_exists	research_role	claim_boundary	expected_inputs	expected_outputs	runtime_class	rerun_trigger
public_realdata_smoke	scripts/run_public_realdata_smoke.R	analysis/public_realdata_smoke	TRUE	11	analysis/public_realdata_smoke/run_manifest.tsv	TRUE	public raw-count execution smoke test	technical smoke test, not disease mechanism	MT3_CAFs_raw.txt; Normal_mammary_fibroblasts_raw.txt; marker prior list in script	nb_fit_diagnostics.tsv; state_composition.tsv; run_manifest.tsv	medium real-data smoke	NB optimizer, public data parsing, or marker prior changes
public_realdata_transfer	scripts/run_public_realdata_transfer.R	analysis/public_realdata_transfer	TRUE	6	analysis/public_realdata_transfer/public_transfer_manifest.tsv	TRUE	bidirectional public transfer smoke test	transfer mechanics, not full atlas generalization	MT3_CAFs_raw.txt; Normal_mammary_fibroblasts_raw.txt; fitted source/target subsets	public_transfer_diagnostics.tsv; public_transfer_manifest.tsv; source/target state composition tables	medium real-data transfer	transfer optimizer or public data parsing changes
multi_public_realdata_validation	scripts/run_multi_public_realdata_validation.R	analysis/multi_public_realdata_validation	TRUE	11	analysis/multi_public_realdata_validation/multi_public_validation_manifest.tsv	TRUE	multi-public Dryad count-matrix validation	two condition-specific matrices from one Dryad record	data/public_dryad_breast_fibroblast dataset registry; public raw count matrices	multi_public_validation_manifest.tsv; NB diagnostics; transfer diagnostics; transition flow tables	heavy public count-matrix validation	public registry, NB optimizer, transfer optimizer, or transition-flow changes
independent_geo_gse246215_validation	scripts/run_multi_public_realdata_validation.R --dataset-manifest=data/public_geo_gse246215_fibroblast_atlas/gse246215_fibroblast_dataset_manifest.tsv --out=analysis/independent_geo_gse246215_validation	analysis/independent_geo_gse246215_validation	TRUE	10	analysis/independent_geo_gse246215_validation/multi_public_validation_manifest.tsv	TRUE	independent human GSE246215 validation	processed public count matrix and within-study cancer-type subsets	data/public_geo_gse246215_fibroblast_atlas/gse246215_fibroblast_dataset_manifest.tsv; sampled RDS count matrices	multi_public_validation_manifest.tsv; NB diagnostics; transfer diagnostics; marker coverage	heavy independent human public validation	GSE246215 preparation, NB optimizer, transfer optimizer, or marker coverage changes
independent_geo_gse167339_validation	scripts/prepare_gse167339_human_fibroblast_inputs.R --max-cells-per-sample=80 --include-hash-pool=true; scripts/run_multi_public_realdata_validation.R --dataset-manifest=data/public_geo_gse167339_human_fibroblast/gse167339_human_fibroblast_dataset_manifest.tsv --out=analysis/independent_geo_gse167339_validation --max-cells=80 --max-genes=700 --transfer-maxit-z=120 --seed=167339	analysis/independent_geo_gse167339_validation	TRUE	11	analysis/independent_geo_gse167339_validation/multi_public_validation_manifest.tsv	TRUE	independent human GSE167339 donor perturbation validation	processed 10x-style MTX matrices from three donors; Human 3 hash groups included as hash_unknown without treatment-label interpretation	data/public_geo_gse167339_human_fibroblast/gse167339_human_fibroblast_dataset_manifest.tsv; sampled RDS count matrices prepared from 10x-style MTX files	multi_public_validation_manifest.tsv; NB diagnostics; transfer diagnostics; transition summary; donor/sample composition	heavy independent human donor perturbation validation	GSE167339 preparation, hash demultiplexing, MTX parsing, NB optimizer, transfer optimizer, or transition-flow changes
gse167339_donor_robustness	scripts/run_gse167339_donor_robustness.R	analysis/gse167339_donor_robustness	TRUE	6	analysis/gse167339_donor_robustness/gse167339_donor_robustness_manifest.tsv	TRUE	GSE167339 donor-level robustness and hash-threshold sensitivity	donor-level transfer robustness; Human3 remains hash_unknown without treatment-label interpretation	GSE167339 sample-level validation outputs; GSE167339 dataset manifest; Human3 hash-demux count matrices	donor robustness manifest; donor state composition; leave-donor-out transfer; hash-threshold sensitivity	heavy donor-level robustness analysis	GSE167339 validation outputs, donor metadata, hash demultiplex thresholds, or transfer optimizer changes
bioinformatics_validation	scripts/run_bioinformatics_validation.R	analysis/bioinformatics_validation	TRUE	6	analysis/bioinformatics_validation/bioinformatics_validation_manifest.tsv	TRUE	fibroblast purity, state program annotation, and donor-aware state/FPI validation	curated marker/pathway checks; not exhaustive annotation or causal biology	GSE246215 and GSE167339 count matrices; FibroDynMix cell state weights; curated marker and pathway sets	bioinformatics validation manifest; purity QC; state top genes; pathway enrichment; donor abundance/FPI effects	medium bioinformatics validation analysis	public count matrices, state weights, curated marker/pathway sets, or FPI definitions change
gse246215_sensitivity	scripts/run_gse246215_sensitivity.R	analysis/gse246215_sensitivity	TRUE	75	analysis/gse246215_sensitivity/gse246215_sensitivity_manifest.tsv	TRUE	GSE246215 downsampling and library-size QC sensitivity	computational robustness and QC sensitivity, not cancer biology	GSE246215 processed counts and metadata; sampling seeds; library-size trimming parameters	sensitivity manifest; composition variability; transfer diagnostics; run summaries	heavy repeated public sensitivity analysis	GSE246215 preparation, QC filtering, transfer optimizer, or real-data claim changes
extended_method_benchmark	scripts/run_extended_method_benchmark.R	analysis/extended_method_benchmark	TRUE	5	analysis/extended_method_benchmark/extended_method_benchmark_manifest.tsv	TRUE	simulation comparison against marker scoring and NMF/topic baseline	simulation truth only; marker scoring remains competitive in some settings	simulated FibroDynMix count data across discrete, continuous, batch-confounded, and rare-transition scenarios	extended benchmark manifest; method metrics; summary; rankings	heavy simulation benchmark	benchmark method set, NMF/topic backend, optimizer, or simulation changes
marker_stress_benchmark	scripts/run_marker_stress_benchmark.R	analysis/marker_stress_benchmark	TRUE	6	analysis/marker_stress_benchmark/marker_stress_benchmark_manifest.tsv	TRUE	simulation stress test for marker-prior failure modes	bounded stress simulation; does not prove universal superiority over marker scoring	simulated batch-confounded count data with corrupted, missing, shared, swapped, and hidden-program marker-prior stress modes	marker stress benchmark manifest; stress metrics; prior audit; rankings; contrast versus marker scoring	heavy marker-prior stress simulation benchmark	marker prior perturbation design, hidden-program injection, benchmark method set, or optimizer changes
